Settlement Main,Settlement Alt,Area (alt-map resource sheet),Sub-Area (alt-map resource sheet),Region Code Main,Region Code Alt,Official Area,Resource Sheet Area,order,Comment,Landscape,Climates,offset,Fertility,Port level,Riverport,Irrigation,Earthquakes (not used yet),complete,Hidden resources,comment,rss done,,,,Item,Hidden resource
Eretria,Eretria,Greece,Euboia,Dirphysia,Dirphysia,Greece,Greece,14,,Mountain Valley,Mediterranean,-1,6,Shipwright,no,no,No,OK,"Farm6, mountain_valley, mediterranean, base_port_level_2",,,,,,,
Naupaktos,Naupaktos,Greece,Northwestern Greece,Ozolia_Lokris,Ozolia_Lokris,Greece,Greece,14,,Mountains,Mediterranean,0,5,Shipwright,No,River,Yes,OK,"Farm5, mountains, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Aiginion,,,,Tymphaia,,Greece,Greece,14,Missing in Alt,Plateau,Mediterranean,0,5,No port,No,River,Yes,OK,"Farm5, plateau, mediterranean, irrigation_river",,,,,,,
Chios,Chios,Asia Minor,Ionia,Chios,Chios,Greece,Asia Minor,16,Wrong Area,Small Islands/Rocky Coast,Mediterranean,1,6,Dockyard,No,No,Yes,OK,"Farm6, small_islands_and_rocky_coast, mediterranean, base_port_level_3",,,,,,,
Delos,Delos,Greece,Aegean Islands,Delos,Delos,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Dockyard,no,no,yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_3",,,,,,,
Gytheion,Gytheion,Greece,Peloponnese ,Lakonikos_Kolpos,Lakonikos_Kolpos,Greece,Greece,14,,Hills,Mediterranean,0,6,Shipwright,no,River,Yes,OK,"Farm6, hills, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Karystos,,,,Ocheia,,Greece,Greece,14,Missing in Alt,Mountains,Mediterranean,0,5,Trade Port,No,Springs,Yes,OK,"Farm5, mountains, mediterranean, base_port_level_1, irrigation_springs",,,,,,,
Stratos,Stratos,Greece,Northwestern Greece,Akarnania,Akarnania,Greece,Greece,14,,Hills,Mediterranean,1,7,Shipwright,Yes,Lake,No,OK,"Farm7, hills, mediterranean, base_port_level_2, rivertrade, irrigation_lake",,,,,,,
Antigoneia-Chaonia,Antigoneia-Chaonia,Greece,Epeiros,Ano_Chaonia,Ano_Chaonia,Greece,Greece,14,,Mountains,Continental,-1,3,No port,no,No,Yes,OK,"Farm3, mountains, continental",,,,,,,
Kichyros,Kichyros,Greece,Epeiros,Thesprotia,Thesprotia,Greece,Greece,14,,Mountains,Mediterranean,0,5,Trade Port,Yes,No,No,OK,"Farm5, mountains, mediterranean, base_port_level_1, rivertrade",,,,,,,
Dodona,Dodona,Greece,Epeiros,Hellas,Hellas,Greece,Greece,14,,Mountain Valley,Mediterranean,0,7,No port,no,lake,No,OK,"Farm7, mountain_valley, mediterranean, irrigation_lake",,,,,,,
Atintanopolis,,,,Atintania,,Greece,Greece,14,Missing in Alt,Mountains,Continental,-1,3,No port,No,Springs,Yes,OK,"Farm3, mountains, continental, irrigation_springs",,,,,,,
Beroia,Beroia,Greece,Macedon & Chalkidike,Notia_Bottiaia,Notia_Bottiaia,Greece,Greece,14,,River Valley,Mediterranean,-2,8,Shipwright,No,River,No,OK,"Farm8, river_valley, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Edessa-Bottiaia,Edessa-Bottiaia,Greece,Macedon & Chalkidike,Bottiaia,Bottiaia,Greece,Greece,14,,Mountain Valley,Temperate,0,7,No port,No,River,No,OK,"Farm7, mountain_valley, temperate, irrigation_river",,,,,,,
Akanthos,,,,Akte,,Greece,Greece,14,Missing in Alt,Mountains,Mediterranean,-1,4,Trade Port,No,No,Yes,OK,"Farm4, mountains, mediterranean, base_port_level_1",,,,,,,
Torone,Torone,Greece,Macedon & Chalkidike,Sithonia,Sithonia,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Shipwright,No,No,Yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_2",,,,,,,
Berge,,,,Bisaltia-Krestonia,,Greece,Greece,14,Missing in Alt,River Valley,Humid Sub-tropical,-1,9,No port,Yes,River,Yes,OK,"Farm9, river_valley, humid_sub_tropical, rivertrade, irrigation_river",grain,,,,,,
Stymbara,,,,Deuriopos-Pelagonia,,Greece,Greece,14,Missing in Alt,Hills,Continental,-1,4,No port,No,No,Yes,OK,"Farm4, hills, continental",,,,,,,
Idomenai,,,,Amphaxitis,,Greece,Greece,14,Missing in Alt,Mountain Valley,Humid Sub-tropical,-1,6,No port,Yes,River,Yes,OK,"Farm6, mountain_valley, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
,Aiane,Greece,Macedon & Chalkidike,,Elimeia,Greece,Greece,14,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Pherai,Pherai,Greece,Thessaly,Pelasgiotis,Pelasgiotis,Greece,Greece,14,,Hills,Mediterranean,1,7,No port,No,Lake,Yes,OK,"Farm7, hills, mediterranean, irrigation_lake",,,,,,,
Trikka,Trikka,Greece,Thessaly,Histiaiotis,Histiaiotis,Greece,Greece,14,,River Valley,Temperate,-2,8,No port,No,River,No,OK,"Farm8, river_valley, temperate, irrigation_river",,,,,,,
Phalanna,Phalanna,Greece,Thessaly,Perrhaibia,Perrhaibia,Greece,Greece,14,,Plateau,Mediterranean,1,6,No port,No,No,Yes,OK,"Farm6, plateau, mediterranean",,,,,,,
Thebai Phthiotides,,,,Achaia_Phthiotis,,Greece,Greece,14,Missing in Alt,Hills,Mediterranean,1,7,Trade Port,No,River,Yes,OK,"Farm7, hills, mediterranean, base_port_level_1, irrigation_river",saffron moved here,,,,,,
Opous,Opous,Greece,Attika & Central Greece,Opountia_Lokris,Opountia_Lokris,Greece,Greece,14,,Hills,Mediterranean,0,6,Trade Port,No,River,No,OK,"Farm6, hills, mediterranean, base_port_level_1, irrigation_river",,,,,,,
Elateia,Elateia,Greece,Attika & Central Greece,Phokis-Doris,Phokis,Greece,Greece,14,New Name Change,Mountain Valley,Mediterranean,-1,6,No port,No,River,No,OK,"Farm6, mountain_valley, mediterranean, irrigation_river",,,,,,,
Thebes,Thebes,Greece,Attika & Central Greece,Thebai,Thebai,Greece,Greece,14,,Hills,Mediterranean,0,6,No port,No,lake,Yes,OK,"Farm6, hills, mediterranean, irrigation_lake",,,,,,,
Argithea,Argithea,Greece,Epeiros,Athamania,Athamania,Greece,Greece,14,,Mountains,Continental,-1,3,No port,no,Lake,Yes,OK,"Farm3, mountains, continental, irrigation_lake",,,,,,,
Ktimene,,,,Dolopia-Oitaia,,Greece,Greece,14,Missing in Alt,Mountains,Mediterranean,-1,4,No port,No,River,Yes,OK,"Farm4, mountains, mediterranean, irrigation_river",,,,,,,
Argos-Amphilochia,Argos-Amphilochia,Greece,Northwestern Greece,Amphilochia,Amphilochia,Greece,Greece,14,,Mountains,Mediterranean,-1,4,Trade Port,No,No,No,OK,"Farm4, mountains, mediterranean, base_port_level_1",,,,,,,
Tegea,Tegea,Greece,Peloponnese ,Tegeatis,Tegeatis,Greece,Greece,14,,Karst Terrain,Mediterranean,0,4,No port,no,Springs,Yes,OK,"Farm4, karst_terrain, mediterranean, irrigation_springs",,,,,,,
Piraeus,Piraeus,Greece,Attika & Central Greece,Peiraieus,Peiraieus,Greece,Greece,14,,Hills,Mediterranean,-1,5,Dockyard,No,No,Yes,OK,"Farm5, hills, mediterranean, base_port_level_3",,,,,,,
Trozan,Trozan,Greece,Peloponnese ,Troizen,Troizen,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,0,5,Shipwright,no,No,No,OK,"Farm5, small_islands_and_rocky_coast, mediterranean, base_port_level_2",,,,,,,
Lepreon,Lepreon,Greece,Peloponnese ,Triphylia,Triphylia,Greece,Greece,14,,Hills,Mediterranean,-2,4,Needs Harbour,no,River,Yes,OK,"Farm4, hills, mediterranean, base_port_level_0, irrigation_river",,,,,,,
Megara,Megara,Greece,Peloponnese ,Megaris,Megaris,Greece,Greece,14,,Hills,Mediterranean,-1,5,Shipwright,no,No,Yes,OK,"Farm5, hills, mediterranean, base_port_level_2",,,,,,,
Dyme,Dyme,Greece,Peloponnese ,Hesperos_Achaia,Hesperos_Achaia,Greece,Greece,14,,Grassland,Mediterranean,-2,7,Dockyard,no,River,Yes,OK,"Farm7, grassland, mediterranean, base_port_level_3, irrigation_river",,,,,,,
Orchomenos-Arkadia,Orchomenos-Arkadia,Greece,Peloponnese ,Olygirtos,Olygirtos,Greece,Greece,14,,Mountains,Temperate,-1,4,No port,no,No,Yes,OK,"Farm4, mountains, temperate",,,,,,,
Prasiai,,,,Brasiai,,Greece,Greece,14,Missing in Alt,Mountains,Mediterranean,-1,4,Trade Port,No,River,Yes,OK,"Farm4, mountains, mediterranean, base_port_level_1, irrigation_river",,,,,,,
Argos,Argos,Greece,Peloponnese ,Argolis,Argolis,Greece,Greece,14,,Mountain Valley,Mediterranean,0,7,Shipwright,no,River,Yes,OK,"Farm7, mountain_valley, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Pellene,,,,Anatolike_Achaia,,Greece,Greece,14,Missing in Alt,Mountains,Mediterranean,-1,4,Trade Port,No,Springs,Yes,OK,"Farm4, mountains, mediterranean, base_port_level_1, irrigation_springs",bronze working,,,,,,
Leukas,Leukas,Greece,Northwestern Greece,Leukas,Leukas,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,0,5,Dockyard,No,No,Yes,OK,"Farm5, small_islands_and_rocky_coast, mediterranean, base_port_level_3",,,,,,,
Thera,Thera,Greece,Aegean Islands,Kalliste,Kalliste,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Trade Port,no,no,yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_1",,,,,,,
Same,Same,Greece,Northwestern Greece,Kephallenia,Kephallenia,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Shipwright,No,No,Yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_2",,,,,,,
Zakynthos,Zakynthos,Greece,Northwestern Greece,Zakynthos,Zakynthos,Greece,Greece,14,,Forest,Mediterranean,-1,5,Trade Port,No,No,Yes,OK,"Farm5, forest, mediterranean, base_port_level_1",,,,,,,
Paros,Paros,Greece,Aegean Islands,Paros,Paros,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Trade Port,no,no,yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_1",,,,,,,
Myrina,,,,Lemnos,,Greece,Greece,14,Missing in Alt,Small Islands/Rocky Coast,Mediterranean,1,6,Shipwright,No,Springs,Yes,OK,"Farm6, small_islands_and_rocky_coast, mediterranean, base_port_level_2, irrigation_springs",lemnian earth,,,,,,
Kythera,Kythera,Greece,Peloponnese ,Kythera,Kythera,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Shipwright,no,no,Yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_2",,,,,,,
Skyros,Skyros,Greece,Aegean Islands,Skyros,Skyros,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Trade Port,no,no,yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_1",,,,,,,
Lato,Lato,Greece,Crete,Latia,Latia,Greece,Greece,14,,Small Islands/Rocky Coast,Mediterranean,-1,4,Shipwright,no,no,yes,OK,"Farm4, small_islands_and_rocky_coast, mediterranean, base_port_level_2",,,,,,,
Arsinoe,Arsinoe,Greece,Crete,Rithymna,Rithymna,Greece,Greece,14,,Hills,Mediterranean,-1,5,Shipwright,no,no,Yes,OK,"Farm5, hills, mediterranean, base_port_level_2",,,,,,,
Oaxos,,,,Ida,,Greece,Greece,14,Missing in Alt,Mountains,Mediterranean,0,5,Trade Port,No,No,Yes,OK,"Farm5, mountains, mediterranean, base_port_level_1",,,,,,,
Aptera,Aptera,Greece,Crete,Apteraia,Apteraia,Greece,Greece,14,,Mountains,Mediterranean,-1,4,Shipwright,no,no,yes,OK,"Farm4, mountains, mediterranean, base_port_level_2",,,,,,,
Arkades,Arkades,Greece,Crete,Arkadia-Krete,Arkadia-Krete,Greece,Greece,14,Last Cut,,,,,,,,,,#N/A,,,,,,,
Methymna,Methymna,Asia Minor,Ionia,Methymnia,Methymnia,Greece,Asia Minor,16,Wrong Area,Small Islands/Rocky Coast,Mediterranean,2,7,Shipwright,No,No,Yes,OK,"Farm7, small_islands_and_rocky_coast, mediterranean, base_port_level_2",,,,,,,
Lindos,Lindos,Asia Minor,Ionia,Notios_Rhodos,Notios_Rhodos,Greece,Asia Minor,16,Wrong Area,Small Islands/Rocky Coast,Mediterranean,0,5,Shipwright,No,Springs,Yes,OK,"Farm5, small_islands_and_rocky_coast, mediterranean, base_port_level_2, irrigation_springs",,,,,,,
STEPPES,,,,,,,,,,,,,,,,,,,,,,,,,,
Olbia,Olbia,Steppes,Scythia,Olbiana,Olbiana,Steppes,Steppes,15,,Wetlands/Swamps/Marshes,Dry Sub-tropical,1,6,Dockyard,Yes,River,No,OK,"Farm6, wetlands, dry_sub_tropical, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Skython Taphai,Skython Taphai,Steppes,Scythia,Nomadike_Skythia,Nomadike_Skythia,Steppes,Steppes,15,,Steppe,Continental,1,6,No port,Yes,River,No,OK,"Farm6, steppe, continental, rivertrade, irrigation_river",,,,,,,
Amadoka,Amadoka,Steppes,Scythia,Borysthenes,Borysthenes,Steppes,Steppes,15,,River Valley,Continental,0,9,No port,Yes,River,No,OK,"Farm9, river_valley, continental, rivertrade, irrigation_river",,,,,,,
Chersonesos,Chersonesos,Steppes,Sea of azov and crimea,Mikra_Chersonesos,Mikra_Chersonesos,Steppes,Steppes,15,,Hills,Continental,1,6,Dockyard,No,River,No,OK,"Farm6, hills, continental, base_port_level_3, irrigation_river",,,,,,,
Pantikapaion,Pantikapaion,Steppes,Sea of azov and crimea,Kimmerikos_Bosporos,Kimmerikos_Bosporos,Steppes,Steppes,15,,Grassland,Dry Sub-tropical,0,9,Dockyard,No,Springs,No,OK,"Farm9, grassland, dry_sub_tropical, base_port_level_3, irrigation_springs",,,,,,,
Phanagoreia,Phanagoreia,Steppes,Sea of azov and crimea,Phanagoreion,Phanagoreion,Steppes,Steppes,15,,Steppe,Dry Sub-tropical,1,7,Shipwright,No,Lake,No,OK,"Farm7, steppe, dry_sub_tropical, base_port_level_2, irrigation_lake",,,,,,,
Tanais,Tanais,Steppes,Sea of azov and crimea,Tanaitis,Tanaitis,Steppes,Steppes,15,,Wetlands/Swamps/Marshes,Continental,2,7,Shipwright,Yes,River,No,OK,"Farm7, wetlands, continental, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Seraka,Seraka,Steppes,Aorsi and North caucaus,Sirakene,Sirakene,Steppes,Steppes,15,,Grassland,Continental,-1,7,No port,No,River,No,OK,"Farm7, grassland, continental, irrigation_river",,,,,,,
Hexapolis,Hexapolis,Steppes,Aorsi and North caucaus,Aorsia,Aorsia,Steppes,Steppes,15,,Steppe,Cold Semi-arid,0,6,No port,Yes,River,No,OK,"Farm6, steppe, cold_semi_arid, rivertrade, irrigation_river",,,,,,,
Ouspe,Ouspe,Steppes,Aorsi and North caucaus,Pandaia,Pandaia,Steppes,Steppes,15,,Floodplains/Delta,Continental,-2,9,Trade Port,Yes,River,No,OK,"Farm9, floodplains_delta, continental, base_port_level_1, rivertrade, irrigation_river",,,,,,,
Nauaris,Nauaris,Steppes,Sea of azov and crimea,Iaxamataia,Iaxamataia,Steppes,Steppes,15,,River Valley,Continental,-1,8,No port,Yes,River,No,OK,"Farm8, river_valley, continental, rivertrade, irrigation_river",,,,,,,
,Skythike Neapolis,Steppes,Sea of azov and crimea,,Megale_Chersonesos,Steppes,Steppes,15,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Lampas,Lampas,Steppes,Sea of azov and crimea,Taurike,Taurike,Steppes,Steppes,15,,Karst Terrain,Humid Sub-tropical,-1,3,Trade Port,No,No,Yes,OK,"Farm3, karst_terrain, humid_sub_tropical, base_port_level_1",,,,,,,
Gorgippia,Gorgippia,Steppes,Sea of azov and crimea,Sindike,Sindike,Steppes,Steppes,15,,Hills,Dry Sub-tropical,0,6,Shipwright,No,River,No,OK,"Farm6, hills, dry_sub_tropical, base_port_level_2, irrigation_river",,,,,,,
Leinon,Leinon,Steppes,Scythia,Hesperos_Georgike_Skythia,Hesperos_Georgike_Skythia,Steppes,Steppes,15,,Grassland,Continental,-1,7,No port,Yes,River,No,OK,"Farm7, grassland, continental, rivertrade, irrigation_river",,,,,,,
Sarbakon,Sarbakon,Steppes,Scythia,Alazonia,Alazonia,Steppes,Steppes,15,Last Cut,,,,,,,,,,#N/A,,,,,,,
Niosson,Niosson,Steppes,Scythia,Kallippidia-Alazonia,Kallippidia,Steppes,Steppes,15,New Name Change,Steppe,Dry Sub-tropical,2,8,Needs Harbour,Yes,River,No,OK,"Farm8, steppe, dry_sub_tropical, base_port_level_0, rivertrade, irrigation_river",,,,,,,
Trakana,Trakana,Steppes,Scythia,Hylaia,Hylaia,Steppes,Steppes,15,,Floodplains/Delta,Cold Semi-arid,-1,11,Trade Port,No,River,No,OK,"Farm11, floodplains_delta, cold_semi_arid, base_port_level_1, irrigation_river",,,,,,,
Karkine,Karkine,Steppes,Sea of azov and crimea,Karkinetis,Karkinetis,Steppes,Steppes,15,,Steppe,Dry Sub-tropical,1,6,Needs Harbour,No,No,No,OK,"Farm6, steppe, dry_sub_tropical, base_port_level_0",,,,,,,
Azara,Azara,Steppes,Sea of azov and crimea,Maiotis,Maiotis,Steppes,Steppes,15,Last Cut,,,,,,,,,,#N/A,,,,,,,
Skopelos,Skopelos,Steppes,Sea of azov and crimea,Aspourgiania,Aspourgiania,Steppes,Steppes,15,,Wetlands/Swamps/Marshes,Continental,1,6,Needs Harbour,Yes,River,No,OK,"Farm6, wetlands, continental, base_port_level_0, rivertrade, irrigation_river",,,,,,,
Hygreis,Hygreis,Steppes,Sarmatia ,Rhoxolania,Rhoxolania,Steppes,Steppes,15,,Steppe,Continental,1,6,Trade Port,No,River,No,OK,"Farm6, steppe, continental, base_port_level_1, irrigation_river",,,,,,,
Theodosia,Theodosia,Steppes,Sea of azov and crimea,Kriou_Metopon,Kriou_Metopon,Steppes,Steppes,15,,Grassland,Humid Sub-tropical,1,10,Shipwright,No,Springs,No,OK,"Farm10, grassland, humid_sub_tropical, base_port_level_2, irrigation_springs",,,,,,,
Sauromaton Taphai,Sauromaton Taphai,Steppes,Sarmatia ,Sauromataia,Sauromataia,Steppes,Steppes,15,,Steppe,Cold Semi-arid,0,6,No port,Yes,River,No,OK,"Farm6, steppe, cold_semi_arid, rivertrade, irrigation_river",,,,,,,
Aorson Taphai,Aorson Taphai,Steppes,Aorsi and North caucaus,Ano_Aorsia,Ano_Aorsia,Steppes,Steppes,15,,Steppe,Cold Semi-arid,-1,5,Shipwright,Yes,River,Yes,OK,"Farm5, steppe, cold_semi_arid, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Gelonos,Gelonos,Steppes,Sarmatia ,Gelonia,Gelonia,Steppes,Steppes,15,Last Cut,,,,,,,,,,#N/A,,,,,,,
Gerrhon Taphai,Gerrhon Taphai,Steppes,Scythia,Gerrhoia,Gerrhoia,Steppes,Steppes,15,,Wetlands/Swamps/Marshes,Continental,-1,4,No port,Yes,River,No,OK,"Farm4, wetlands, continental, rivertrade, irrigation_river",,,,,,,
Skythopolis,Skythopolis,Steppes,Scythia,Basilike_Skythia,Basilike_Skythia,Steppes,Steppes,15,,Steppe,Continental,1,6,Needs Harbour,Yes,River,No,OK,"Farm6, steppe, continental, base_port_level_0, rivertrade, irrigation_river",,,,,,,
Melanchlainopolis,Melanchlainopolis,Steppes,Far north,Melanchlainia,Melanchlainia,Steppes,Steppes,15,,Forest,Continental,-1,4,No port,No,River,No,OK,"Farm4, forest, continental, irrigation_river",,,,,,,
,Oudon Taphai,Steppes,Scythia,,Oudaia,Steppes,Steppes,15,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Neuron Taphai,Neuron Taphai,Steppes,Scythia,Neuria,Neuria,Steppes,Steppes,15,,Forest,Continental,1,6,No port,Yes,River,No,OK,"Farm6, forest, continental, rivertrade, irrigation_river",,,,,,,
Kerkinitis,Kerkinitis,Steppes,Sea of azov and crimea,Hesperos_Chersonesos,Kerkinitike,Steppes,Steppes,15,Name Change,Steppe,Dry Sub-tropical,0,6,Shipwright,No,River,No,OK,"Farm6, steppe, dry_sub_tropical, base_port_level_2, irrigation_river",,,,,,,
Skythike Palaiopolis,Skythike Palaiopolis,Steppes,Sea of azov and crimea,Megale_Chersonesos,Anatolike_Chersonesos,Steppes,Steppes,15,Name Change,Steppe,Dry Sub-tropical,1,6,Needs Harbour,No,No,No,OK,"Farm6, steppe, dry_sub_tropical, base_port_level_0",,,,,,,
Gelonos,Boudinon Taphai,Steppes,Sarmatia ,Boudinia-Gelonia,Boudinia,Steppes,Steppes,15,New Name Change,Steppe,Continental,-1,4,No port,No,River,No,OK,"Farm4, steppe, continental, irrigation_river",,,,,,,
,Olondon Taphai,Steppes,Aorsi and North caucaus,,Olondaia,Steppes,Steppes,15,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Isondon Taphai,Steppes,Aorsi and North caucaus,,Isondaia,Steppes,Steppes,15,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Agathyrson Taphai,Agathyrson Taphai,Steppes,Scythia,Agathyrsia,Agathyrsia,Steppes,Steppes,15,,Hills,Continental,1,6,No port,Yes,River,No,OK,"Farm6, hills, continental, rivertrade, irrigation_river",,,,,,,
Nymphaion,Nymphaion,Steppes,Sea of azov and crimea,Stenopos,Stenopos,Steppes,Steppes,15,,Grassland,Dry Sub-tropical,0,8,Shipwright,No,No,No,OK,"Farm8, grassland, dry_sub_tropical, base_port_level_2",,,,,,,
Kremnoi,Kremnoi,Steppes,Sarmatia ,Iazygia,Iazygia,Steppes,Steppes,15,,Steppe,Cold Semi-arid,1,6,Trade Port,No,No,No,OK,"Farm6, steppe, cold_semi_arid, base_port_level_1",,,,,,,
Gerousa,,,,Maiotis,,Steppes,,15,Missing in Alt,Wetlands/Swamps/Marshes,Continental,-1,4,Needs Harbour,No,River,No,OK,"Farm4, wetlands, continental, base_port_level_0, irrigation_river",,,,,,,
Perierbidon Taphai,,,,Perierbidia,,Steppes,,15,Missing in Alt,Steppe,Continental,1,6,No port,Yes,River,No,OK,"Farm6, steppe, continental, rivertrade, irrigation_river",,,,,,,
Basilon Sauromaton Taphai,Basilon Sauromaton Taphai,Steppes,Sarmatia ,Basilike_Sauromataia,Basilike_Sauromataia,Steppes,Steppes,15,,Steppe,Continental,0,5,No port,Yes,River,No,OK,"Farm5, steppe, continental, rivertrade, irrigation_river",,,,,,,
Nikonion,,,,Hellenike_Tyragetia,,Steppes,,15,Missing in Alt,Wetlands/Swamps/Marshes,Dry Sub-tropical,1,6,Needs Harbour,Yes,River,No,OK,"Farm6, wetlands, dry_sub_tropical, base_port_level_0, rivertrade, irrigation_river",,,,,,,
Hermonassa,Hermonassa,Steppes,Sea of azov and crimea,Korokondamitis,Korokondamitis,Steppes,Steppes,15,,Grassland,Dry Sub-tropical,-2,7,Trade Port,No,Lake,No,OK,"Farm7, grassland, dry_sub_tropical, base_port_level_1, irrigation_lake",,,,,,,
Boruskopolis,,,,Borouskia-Pagyritaia,,Steppes,,15,Missing in Alt,Forest,Continental,1,6,No port,Yes,River,No,OK,"Farm6, forest, continental, rivertrade, irrigation_river",,,,,,,
Akibiopolis,,,,Akibia-Sauaria,,Steppes,,15,Missing in Alt,Wetlands/Swamps/Marshes,Continental,0,5,No port,Yes,River,No,OK,"Farm5, wetlands, continental, rivertrade, irrigation_river",,,,,,,
Naskopolis,,,,Naskia,,Steppes,,15,Missing in Alt,Forest,Continental,0,5,No port,No,River,No,OK,"Farm5, forest, continental, irrigation_river",,,,,,,
Asaiopolis,,,,Asaia,,Steppes,,15,Missing in Alt,Hills,Sub-artic,1,4,No port,No,River,No,OK,"Farm4, hills, sub_artic, irrigation_river",,,,,,,
Skythikon Polis,,,,Anatolike_Nomadike_Skythia,,Steppes,,15,Last Cut,,,,,,,,,,#N/A,,,,,,,
Androphagon Kome,Androphagon Kome,Steppes,Scythia,Androphagia,Androphagia,Steppes,Steppes,15,,Grassland,Continental,-1,7,No port,Yes,River,No,OK,"Farm7, grassland, continental, rivertrade, irrigation_river",,,,,,,
Basilikon Skython Taphai,,,,Notia_Basilike_Skythia,,Steppes,,15,Missing in Alt,Steppe,Hot Semi-arid,0,6,Needs Harbour,No,River,No,OK,"Farm6, steppe, hot_semi_arid, base_port_level_0, irrigation_river",,,,,,,
ASIA MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,
BITHYNIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikomedia,Nikomedia,Asia Minor,Ionia,Bithynia,Bithynia,Asia Minor,Asia Minor,16,,River Valley,Humid Sub-tropical,-1,9,Shipwright,No,Springs,Yes,OK,"Farm9, river_valley, humid_sub_tropical, base_port_level_2, irrigation_springs",,,,,,,
Herakleia-Pontos,Herakleia-Pontos,Asia Minor,Pontic Coast,Hellenike_Mariandynia,Hellenike_Mariandynia,Asia Minor,Asia Minor,16,,Small Islands/Rocky Coast,Humid Sub-tropical,0,5,Dockyard,No,No,Yes,OK,"Farm5, small_islands_and_rocky_coast, humid_sub_tropical, base_port_level_3",,,,,,,
Nikaia,Nikaia,Asia Minor,Ionia,Notia_Bithynia,Notia_Bithynia,Asia Minor,Asia Minor,16,,Mountain Valley,Mediterranean,1,8,No port,Yes,Lake,Yes,OK,"Farm8, mountain_valley, mediterranean, rivertrade, irrigation_lake",,,,,,,
Kios,Kios,Asia Minor,Ionia,Kianos_Kolpos,Kianos_Kolpos,Asia Minor,Asia Minor,16,,Mountain Valley,Mediterranean,0,7,Shipwright,No,Lake,Yes,OK,"Farm7, mountain_valley, mediterranean, base_port_level_2, irrigation_lake",,,,,,,
Chalkedon,Chalkedon,Asia Minor,Ionia,Chalkedonia,Chalkedonia,Asia Minor,Asia Minor,16,,Hills,Mediterranean,-1,5,Shipwright,No,Springs,Yes,OK,"Farm5, hills, mediterranean, base_port_level_2, irrigation_springs",,,,,,,
Bithynion,Bithynion,Asia Minor,Galatia,Salone,Salone,Asia Minor,Asia Minor,16,,Mountain Valley,Continental,0,6,No port,No,River,Yes,OK,"Farm6, mountain_valley, continental, irrigation_river",,,,,,,
Kieros,Kieros,Asia Minor,Pontic Coast,Hypios,Hypios,Asia Minor,Asia Minor,16,,Mountain Valley,Temperate,-1,6,No port,No,River,Yes,OK,"Farm6, mountain_valley, temperate, irrigation_river",,,,,,,
,Krateia,Asia Minor,Galatia,,Anatolike_Bithynia,Asia Minor,Asia Minor,16,Not in Main Map,,,,Autocompletes,,,,,,#N/A,,,,,,,
PAPHLAGONIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinope,Sinope,Asia Minor,Pontic Coast,Sinopeia,Sinopeia,Asia Minor,Asia Minor,16,,Hills,Humid Sub-tropical,1,7,Dockyard,No,No,No,OK,"Farm7, hills, humid_sub_tropical, base_port_level_3",,,,,,,
Gangra,Gangra,Asia Minor,Galatia,Paphlagonia,Paphlagonia,Asia Minor,Asia Minor,16,,Mountain Valley,Continental,-1,5,No port,No,River,Yes,OK,"Farm5, mountain_valley, continental, irrigation_river",,,,,,,
Sesamos,Sesamos,Asia Minor,Pontic Coast,Amastris,Amastris,Asia Minor,Asia Minor,16,,Mountains,Humid Sub-tropical,-1,4,Shipwright,No,No,Yes,OK,"Farm4, mountains, humid_sub_tropical, base_port_level_2",,,,,,,
